,Name,Elo,GXE,Glicko-1,usernames,ladder_url,Unnamed: 5
0,MichaelderBeste2,2366,90.5%,1925 ± 25,michaelderbeste2,https://pokemonshowdown.com/ladder/gen9randombattle,
1,this dude,2341,86.6%,1852 ± 28,thisdude,https://pokemonshowdown.com/ladder/gen9randombattle,
2,yes or no my dude,2325,87.0%,1859 ± 25,yesornomydude,https://pokemonshowdown.com/ladder/gen9randombattle,
3,marrickchill,2323,83.1%,1800 ± 27,marrickchill,https://pokemonshowdown.com/ladder/gen9randombattle,
4,Lady Writer ❄,2321,85.3%,1831 ± 26,ladywriter,https://pokemonshowdown.com/ladder/gen9randombattle,
5,1✿Surgeon,2320,84.8%,1824 ± 25,1surgeon,https://pokemonshowdown.com/ladder/gen9randombattle,
6,Shadows4,2318,85.2%,1829 ± 25,shadows4,https://pokemonshowdown.com/ladder/gen9randombattle,
7,ionnss,2305,81.4%,1779 ± 26,ionnss,https://pokemonshowdown.com/ladder/gen9randombattle,
8,70to90gxe,2299,87.7%,1870 ± 30,70to90gxe,https://pokemonshowdown.com/ladder/gen9randombattle,
9,Faze_DingerBoy,2294,82.0%,1786 ± 26,fazedingerboy,https://pokemonshowdown.com/ladder/gen9randombattle,
10,sfbsvsfd,2291,81.1%,1774 ± 25,sfbsvsfd,https://pokemonshowdown.com/ladder/gen9randombattle,
11,hong hoornstaart,2281,87.0%,1858 ± 25,honghoornstaart,https://pokemonshowdown.com/ladder/gen9randombattle,
12,Khalnaayak,2280,84.5%,1819 ± 26,khalnaayak,https://pokemonshowdown.com/ladder/gen9randombattle,
13,pokeblade☆101,2279,88.5%,1885 ± 25,pokeblade101,https://pokemonshowdown.com/ladder/gen9randombattle,
14,Ggs1234,2278,81.4%,1778 ± 25,ggs1234,https://pokemonshowdown.com/ladder/gen9randombattle,
15,PokemonCestDur,2274,83.9%,1812 ± 26,pokemoncestdur,https://pokemonshowdown.com/ladder/gen9randombattle,
16,Viderature,2273,82.7%,1795 ± 25,viderature,https://pokemonshowdown.com/ladder/gen9randombattle,
17,chemcoop,2273,84.7%,1823 ± 26,chemcoop,https://pokemonshowdown.com/ladder/gen9randombattle,
18,minhthuanpk,2267,86.5%,1851 ± 25,minhthuanpk,https://pokemonshowdown.com/ladder/gen9randombattle,
19,Michielleus,2266,88.5%,1885 ± 29,michielleus,https://pokemonshowdown.com/ladder/gen9randombattle,
